movie_title,imdb_id,duration,language,country,release_date,release_country,budget,genres,title_year,num_voted_users,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,actor_4_name,actor_4_facebook_likes,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,production,imdb_score
Ernest in the Army,tt0129908,85,English,USA,24 Feb 1998,release_countrytt0129908,budget,Family| Comedy,1998,1867,John R. Cherry III,137,null,8530,null,8530,null,8530,null,8530,33928,59,10,Active Entertainment,5
Spaceship Terror,tt1965108,93,English,USA,10 Jun 2011,release_countrytt1965108,budget,Horror| Sci-Fi| Thriller,2011,74,Harry Tchinski,3234,null,8530,null,8530,null,8530,null,8530,3988,10,1,N/A,5
Lake Fear,tt4028134,89,English,USA,01 Dec 2014,release_countrytt4028134,budget,Comedy| Horror,2014,1613,Michael Crum,185504,null,8530,null,8530,null,8530,null,8530,4509,8,1,N/A,5
Crawlspace,tt2141777,90,English,USA,04 Jan 2013,release_countrytt2141777,budget,Horror| Thriller,2013,660,Josh Stolberg,47,null,8530,null,8530,null,8530,null,8530,45462,105,6,IFC Films,5
Ghosted,tt1252595,89,English| German| Mandarin,Taiwan| Germany,31 Jul 2009,release_countrytt1252595,budget,Drama| Mystery,2009,325,Monika Treut,1186,null,8530,null,8530,null,8530,null,8530,1453159,7852,1001,First Run Features,5
Luv Ka the End,tt1918927,106,Hindi| English,India,06 May 2011,release_countrytt1918927,budget,Comedy| Drama,2011,1136,Bumpy,8073,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Passage to Mars,tt3190158,94,English| French,USA,30 Sep 2016,release_countrytt3190158,budget,Documentary,2016,569,Jean-Christophe Jeauffre,17,null,8530,null,8530,null,8530,null,8530,124581,76,42,Jules Verne Adventures,5
Dead Season,tt1650042,85,English,USA,05 Jul 2012,release_countrytt1650042,budget,Horror| Sci-Fi,2012,2872,Adam Deyoe,11,null,8530,null,8530,null,8530,null,8530,739480,10675,450,N/A,5
Clinger,tt3043590,81,English,USA,12 Jan 2015,release_countrytt3043590,budget,Comedy| Horror,2015,344,Michael Steves,9851,null,8530,null,8530,null,8530,null,8530,40236,194,23,N/A,5
Kill Your Darlings,tt0472118,94,English| Swedish,Sweden| USA,12 Apr 2006,release_countrytt0472118,budget,Comedy| Drama,2006,786,Björne Larson,5,null,8530,null,8530,null,8530,null,8530,2178671,10924,255,Nordisk Film,5
Robo-Dog,tt3591946,87,English,USA,14 Oct 2015,release_countrytt3591946,budget,Family| Sci-Fi,2015,114,Jason Murphy,2601,null,8530,null,8530,null,8530,null,8530,41242,95,21,Prism Pictures,5
Hellbenders,tt1865393,85,English,USA,23 May 2013,release_countrytt1865393,budget,Comedy| Horror| Thriller,2012,1113,J.T. Petty,0,null,8530,null,8530,null,8530,null,8530,62008,63,11,Bloody Disgusting,5
Spirit Camp,tt1078933,96,English,USA,21 Dec 2009,release_countrytt1078933,budget,Comedy| Horror,2009,465,Kerry Beyer,508,null,8530,null,8530,null,8530,null,8530,116478,96,31,N/A,5
Joseph and Mary,tt5206098,82,English,Canada,05 Jul 2016,release_countrytt5206098,budget,Drama,2016,78,Roger Christian,4707,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Removal,tt1493828,91,English,USA,07 Nov 2010,release_countrytt1493828,budget,Thriller,2010,839,Nick Simon,18945,null,8530,null,8530,null,8530,null,8530,141220,118,18,Grindstone Entertainment,5
Three Can Play That Game,tt1046193,90,English,USA,01 Oct 2007,release_countrytt1046193,budget,Comedy| Romance,2007,689,Samad Davis,0,null,8530,null,8530,null,8530,null,8530,0,0,0,Sony Pictures Home Entertainment,5
House Broken,tt1054631,84,English,USA,07 Jul 2011,release_countrytt1054631,budget,Comedy,2009,1794,Sam Harper,439,null,8530,null,8530,null,8530,null,8530,10668,5,1,Image Entertainment,5
Immigration Game,tt5291976,96,English| German,Germany,06 Jul 2017,release_countrytt5291976,budget,Action| Drama| Thriller,2017,83,Krystof Zlatnik,0,null,8530,null,8530,null,8530,null,8530,32498,94,49,RoundhouseFilm,6
Paws,tt0119870,83,English,Australia| UK,25 Sep 1997,release_countrytt0119870,budget,Adventure| Family| Fantasy,1997,655,Karl Zwicky,7,null,8530,null,8530,null,8530,null,8530,39297,324,4,Universal Pictures,5
Die Fighting,tt2382090,110,English,USA,N/A,release_countrytt2382090,budget,Action| Thriller,2014,427,Fabien Garcia,628,null,8530,null,8530,null,8530,null,8530,341903,383,105,Z Team Films LLC,5
The Gateway,tt3118442,74,English,USA,04 Oct 2015,release_countrytt3118442,budget,Horror| Mystery| Sci-Fi,2015,311,Jaron Henrie-McCrea,0,null,8530,null,8530,null,8530,null,8530,50088,43,3,N/A,5
